id,image,title,price,type,grape,country,region,abv,bottlesize
70,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineDaniel_EtienneDefaix_ChablisVieillesVignes-TheGoodWineShop_1_1024x1024.jpg?v=1660146572,"Domaine Daniel-Etienne Defaix, Chablis Vieilles Vignes 2018",32.50,White ,Chardonnay,France,Burgundy,12.5%,75cl
71,//cdn.shopify.com/s/files/1/0097/8128/0834/products/FrancoisMikulski_Meursault1erCruLesCailleretsRouge2007TheGoodWineShop_1024x1024.jpg?v=1659970330,"Francois Mikulski, Meursault 1er Cru Les Caillerets Rouge 2007",75.00,Red ,Pinot Noir,France,Burgundy,13%,75cl
72,//cdn.shopify.com/s/files/1/0097/8128/0834/products/FrancoisMikulski_Meursault1erCruLesCailleretsRouge2015TheGoodWineShop_1024x1024.jpg?v=1659969420,"Francois Mikulski, Meursault 1er Cru Les Caillerets Rouge 2015",95.00,Red ,Pinot Noir,France,Burgundy,13%,75cl
73,//cdn.shopify.com/s/files/1/0097/8128/0834/products/LaFermeduMont_Chateauneuf-du-PapeCotesCapelan2016TheGoodWineShop_1024x1024.jpg?v=1659964683,"La Ferme du Mont, Chateauneuf-du Pape Cotes Capelan 2016",70.00,Red ,Grenache,France,Rhone,14.5%,75cl
74,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ClotildeDavenne_BourgogneAligote-TheGoodWineShop_1024x1024.png?v=1660141997,"Domaine Clotilde Davenne, Bourgogne Aligote Vieilles Vignes 2019",23.00,White ,Aligote,France,Burgundy,12.5%,75cl
75,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineClotildeDavenne_SaintBris2020_1024x1024.jpg?v=1659717328,"Domaine Clotilde Davenne, Saint Bris 2020",22.00,White ,Sauvignon Blanc,France,Burgundy,12.5%,75cl
76,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineCachat-Ocquidant_LadoixBlancLesBuis2017TheGoodWineShop_1024x1024.jpg?v=1659698464,"Domaine Cachat-Ocquidant, Ladoix Blanc Les Buis 2017",44.00,White ,Chardonnay,France,Burgundy,13.5%,75cl
77,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineCachat-Ocquidant_LadoixBlanc2018TheGoodWineShop_1024x1024.jpg?v=1659696784,"Domaine Cachat-Ocquidant, Ladoix Blanc 2018",38.00,White ,Chardonnay,France,Burgundy,14%,75cl
78,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Rola_Rose2020TheGoodWineShop_1024x1024.jpg?v=1659172099,"Rola, Rose 2020",14.75,Rose ,Touriga Nacional,Portugal,Douro,12.5%,75cl
79,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Schnabel_LegionarinSauvignonBlanc2019TheGoodWineShop_1024x1024.jpg?v=1659017758,"Schnabel, Legionarin Sauvignon Blanc 2019",39.00,White ,Sauvignon Blanc,Austria,Styria,12.5%,75cl
80,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Landauer_HandzeichenPinotNoir2017TheGoodWineShop_1024x1024.jpg?v=1658914198,"Landauer, Handzeichen Pinot Noir 2017",42.50,Red ,Pinot Noir,Austria,Thermenregion,12%,75cl
81,//cdn.shopify.com/s/files/1/0097/8128/0834/products/TheSupernatural_SauvignonBlanc2018TheGoodWineShop_1024x1024.jpg?v=1658912795,"The Supernatural, Sauvignon Blanc 2018",19.50,White ,Sauvignon Blanc,New Zealand,Hawkes Bay,13.5%,75cl
82,//cdn.shopify.com/s/files/1/0097/8128/0834/products/XavierGoodridge_PaPaPinotNoir2021TheGoodWineShop_1024x1024.jpg?v=1657540019,"Xavier Goodridge, Pa Pa Pinot Noir 2021",23.00,Red ,Pinot Noir,Australia,Victoria,13%,75cl
83,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Bolfan_CabernetSauvignon-TheGoodWineShop_1_1024x1024.jpg?v=1661778412,"Bolfan, Cabernet Sauvignon 2018",21.25,Red ,Cabernet Sauvignon,Croatia,Zagorje,13.5%,75cl
84,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Bolfan_Aromano2016TheGoodWineShop_1024x1024.jpg?v=1658413067,"Bolfan, Aromano 2016",21.25,White ,Pinot Gris,Croatia,Zagorje,14%,75cl
85,//cdn.shopify.com/s/files/1/0097/8128/0834/products/QuintadeCurtimenta_MontedaCapella2019TheGoodWineShop_1024x1024.jpg?v=1658333844,"Monte da Capela, Branco de Curtimenta 2019",16.50,Orange ,Arinto,Portugal,Alentejo,13.5%,75cl
86,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Moric_ReserveBlaufrankisch2019TheGoodWineShop_1024x1024.jpg?v=1658309435,"Moric, Reserve Blaufrankisch 2019",43.00,Red ,Blaufrankisch,Austria,Burgenland,13.5%,75cl
87,//cdn.shopify.com/s/files/1/0097/8128/0834/products/KatharinaWechsler_FehlfarbeSilvanerPetNatNVTheGoodWineShop_1024x1024.jpg?v=1657811551,"Katharina Wechsler, Fehlfarbe Silvaner Pet Nat 2020",26.00,Sparkling ,Silvaner,Germany,Rheinhessen,11%,75cl
88,//cdn.shopify.com/s/files/1/0097/8128/0834/products/KatharinaWechsler_RieslingKirchspiel2017TheGoodWineShop_1024x1024.jpg?v=1657810631,"Katharina Wechsler, Riesling Kirchspiel 2017",40.00,White ,Riesling,Germany,Rheinhessen,12.5%,75cl
89,//cdn.shopify.com/s/files/1/0097/8128/0834/products/TenutaSanGuido_Guidalberto2020TheGoodWineShop_1024x1024.jpg?v=1657703168,"Tenuta San Guido, Guidalberto 2020",39.50,Red ,Merlot,Italy,Tuscany,14%,75cl
